,CAGR_1yr,CAGR_3yr,CAGR_5yr
Axis Midcap Fund - Regular - Growth,0.22277897154308546,0.35102527889035406,
Mirae Asset Large Cap Fund - Regular - Growth,0.2037595706234765,0.33991970400445304,
ICICI Pru Bluechip Fund - Direct - Growth,0.13073788394478303,0.32478927222623,
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.5327719549540499,0.3243397122906222,
ICICI Pru Midcap Fund - Regular - Growth,0.29627681171526876,0.3176924285223732,
SBI Bluechip Fund - Regular Plan - Growth,0.6048929711840034,0.3044861306002782,
Kotak Flexicap Fund - Regular - Growth,0.2667758391882715,0.2957511058901836,
Mirae Asset Tax Saver Fund - Regular - Growth,0.3978380253854239,0.2917135767741186,
ABSL Frontline Equity Fund - Regular - Growth,0.4796379447633372,0.28960211096593724,
DSP Small Cap Fund - Regular - Growth,0.6519546577826334,0.2699350260734621,
DSP Midcap Fund - Regular - Growth,0.21497414349538224,0.26863103668817145,
SBI Small Cap Fund - Regular Plan - Growth,0.8285157468100046,0.2666309129954312,
UTI Flexi Cap Fund - Regular - Growth,0.1359304393755194,0.25549670172502026,
Nippon India Large Cap Fund - Regular - Growth,0.340078958236512,0.22646647456747715,
Nippon India Large Cap Fund - Direct - Growth,0.25559539940517384,0.21084691029380598,
Axis Bluechip Fund - Direct - Growth,0.19781538524100495,0.20811559826631898,
Nippon India ETF Nifty 50 BeES,0.22510248103762276,0.2000321571698329,
UTI Nifty 50 Index Fund - Regular - Growth,0.20222858595384663,0.19662361245910964,
HDFC Top 100 Fund - Direct Plan - Growth,0.286975804558778,0.18429918008610047,
ICICI Pru Value Discovery Fund - Regular - Growth,0.4185299002066023,0.18417429266835228,
DSP Top 100 Equity Fund - Regular - Growth,0.1812461925339035,0.1803973982038829,
Kotak Bluechip Fund - Regular - Growth,0.1684955152939842,0.1726301444443794,
SBI Bluechip Fund - Direct Plan - Growth,0.057101178520777784,0.16263375081360643,
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14279834500870736,0.14744434832760533,
ICICI Pru Bluechip Fund - Regular - Growth,0.08495135972254553,0.13974980348212673,
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.15455077019290386,0.11242518737374207,
Nippon India Small Cap Fund - Regular - Growth,0.158228664455887,0.080060298597036,
Kotak Emerging Equity Fund - Regular - Growth,0.22518986942465924,0.0775416750547262,
ICICI Pru Liquid Fund - Regular - Growth,0.07430320855847317,0.07392538786263403,
Kotak Liquid Fund - Regular - Growth,0.07125369741102916,0.06694394239074852,
ABSL Liquid Fund - Regular - Growth,0.07241777200393584,0.06314299292105274,
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05525880326360788,0.05838988442093762,
Nippon India Gilt Securities Fund - Regular - Growth,0.1046246278808034,0.04061259859840338,
HDFC Short Term Debt Fund - Regular - Growth,0.03707552701889649,0.03915479354684703,
HDFC Top 100 Fund - Regular Plan - Growth,-0.022257773892688015,0.012923525892154508,
Axis Bluechip Fund - Regular - Growth,0.0161022963455828,0.005257668501786883,
UTI Mid Cap Fund - Regular - Growth,-0.16807959958672036,-0.007672319440258146,
SBI Small Cap Fund - Direct Plan - Growth,0.13957994357447734,-0.01337083602283895,
ABSL Small Cap Fund - Regular - Growth,-0.24000309180292634,-0.04151453816140693,
Axis Small Cap Fund - Regular - Growth,-0.42819495166622135,-0.11703299329834216,
