,Sharpe_Ratio,Rank
Mirae Asset Large Cap Fund - Regular - Growth,1.4482911703262595,1
Kotak Flexicap Fund - Regular - Growth,1.3067439695428407,2
Mirae Asset Tax Saver Fund - Regular - Growth,1.2349300257743296,3
SBI Bluechip Fund - Regular Plan - Growth,1.2082665673727175,4
ICICI Pru Midcap Fund - Regular - Growth,1.1801011976606495,5
DSP Midcap Fund - Regular - Growth,1.1321218524747245,6
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.0936987435346308,7
Nippon India Large Cap Fund - Regular - Growth,1.0816591793457044,8
ABSL Frontline Equity Fund - Regular - Growth,1.0272133278753697,9
ICICI Pru Bluechip Fund - Direct - Growth,1.0265242847993004,10
Axis Midcap Fund - Regular - Growth,0.9982309868636414,11
SBI Bluechip Fund - Direct Plan - Growth,0.9532794968660103,12
DSP Small Cap Fund - Regular - Growth,0.9497958246616031,13
SBI Small Cap Fund - Regular Plan - Growth,0.9453082575156093,14
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.9262873467360146,15
UTI Nifty 50 Index Fund - Regular - Growth,0.8170993373494368,16
ICICI Pru Bluechip Fund - Regular - Growth,0.7979728586052847,17
HDFC Top 100 Fund - Direct Plan - Growth,0.7757902498211207,18
Nippon India ETF Nifty 50 BeES,0.6648569985490619,19
ICICI Pru Value Discovery Fund - Regular - Growth,0.6488787755249532,20
Nippon India Large Cap Fund - Direct - Growth,0.6452074382933215,21
UTI Flexi Cap Fund - Regular - Growth,0.6195175900829828,22
ICICI Pru Liquid Fund - Regular - Growth,0.4957233929533124,23
Kotak Bluechip Fund - Regular - Growth,0.49427253786723496,24
DSP Top 100 Equity Fund - Regular - Growth,0.4640374492204777,25
Nippon India Small Cap Fund - Regular - Growth,0.4484340089089914,26
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.3006119210425478,27
ABSL Small Cap Fund - Regular - Growth,0.1626607692864677,28
Axis Bluechip Fund - Direct - Growth,0.12961449795669325,29
Kotak Emerging Equity Fund - Regular - Growth,0.07599984804658917,30
Axis Bluechip Fund - Regular - Growth,0.030784850954585913,31
SBI Small Cap Fund - Direct Plan - Growth,-0.05718662582817997,32
Axis Small Cap Fund - Regular - Growth,-0.07597357117478923,33
Kotak Liquid Fund - Regular - Growth,-0.08874729621557331,34
HDFC Top 100 Fund - Regular Plan - Growth,-0.2015170675596694,35
UTI Mid Cap Fund - Regular - Growth,-0.20583160785470314,36
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.22657538662791596,37
Nippon India Gilt Securities Fund - Regular - Growth,-0.356629507514368,38
HDFC Short Term Debt Fund - Regular - Growth,-0.5670947928476847,39
ABSL Liquid Fund - Regular - Growth,-0.8155673679088278,40
