investor_id,num_sips,avg_gap_days,max_gap_days,at_risk
INV000004,6,85.4,265.0,True
INV000008,6,70.4,165.0,True
INV000010,6,64.8,139.0,True
INV000011,7,40.2,125.0,True
INV000012,8,57.0,132.0,True
INV000013,7,55.3,104.0,True
INV000014,7,75.3,128.0,True
INV000023,8,58.6,115.0,True
INV000028,6,93.6,238.0,True
INV000029,7,60.7,96.0,True
INV000030,9,47.6,100.0,True
INV000033,8,45.6,87.0,True
INV000039,6,68.6,129.0,True
INV000045,6,70.6,109.0,True
INV000048,9,46.0,168.0,True
INV000052,6,36.2,120.0,True
INV000056,6,74.8,161.0,True
INV000057,8,49.7,149.0,True
INV000069,10,49.1,129.0,True
INV000072,6,83.0,247.0,True
INV000073,9,48.2,112.0,True
INV000074,8,72.6,191.0,True
INV000075,6,74.8,102.0,True
INV000076,6,91.8,203.0,True
INV000079,6,65.8,90.0,True
INV000081,7,81.3,167.0,True
INV000082,7,83.7,351.0,True
INV000086,10,44.7,167.0,True
INV000087,6,92.8,202.0,True
INV000091,8,44.0,105.0,True
INV000093,7,55.5,91.0,True
INV000094,6,44.8,95.0,True
INV000095,6,69.4,155.0,True
INV000097,7,54.5,183.0,True
INV000101,8,65.0,197.0,True
INV000102,8,65.3,109.0,True
INV000103,6,83.4,232.0,True
INV000105,8,57.0,87.0,True
INV000109,9,46.2,63.0,True
INV000113,8,46.0,144.0,True
INV000123,7,59.7,142.0,True
INV000128,6,82.0,181.0,True
INV000131,7,56.0,123.0,True
INV000132,6,71.0,139.0,True
INV000133,6,88.2,265.0,True
INV000138,6,76.2,220.0,True
INV000145,6,89.4,282.0,True
INV000146,6,66.8,171.0,True
INV000148,9,52.0,168.0,True
INV000155,7,37.3,99.0,True
INV000161,7,73.0,213.0,True
INV000163,8,61.0,80.0,True
INV000164,6,61.8,208.0,True
INV000169,7,67.8,145.0,True
INV000173,7,57.7,165.0,True
INV000175,7,83.7,170.0,True
INV000177,8,65.4,278.0,True
INV000180,6,61.8,229.0,True
INV000183,9,56.1,216.0,True
INV000191,7,56.5,161.0,True
INV000194,7,58.0,109.0,True
INV000195,6,77.4,114.0,True
INV000196,7,69.0,176.0,True
INV000201,9,51.1,100.0,True
INV000205,8,62.6,193.0,True
INV000210,8,70.7,163.0,True
INV000214,6,94.8,306.0,True
INV000217,6,92.0,183.0,True
INV000228,9,59.8,188.0,True
INV000236,8,67.1,112.0,True
INV000238,6,93.6,287.0,True
INV000239,8,48.9,105.0,True
INV000243,6,88.2,137.0,True
INV000245,6,92.2,164.0,True
INV000249,7,45.5,162.0,True
INV000252,6,50.4,96.0,True
INV000255,6,48.6,103.0,True
INV000256,6,70.2,155.0,True
INV000259,6,70.6,165.0,True
INV000260,8,59.6,206.0,True
INV000262,8,53.6,122.0,True
INV000263,8,68.4,271.0,True
INV000265,10,53.4,140.0,True
INV000268,7,62.3,143.0,True
INV000279,9,43.4,133.0,True
INV000280,9,55.8,191.0,True
INV000283,6,68.0,195.0,True
INV000287,7,69.8,301.0,True
INV000289,8,62.7,142.0,True
INV000291,6,89.0,196.0,True
INV000292,7,46.0,95.0,True
INV000293,7,47.0,91.0,True
INV000297,6,90.6,163.0,True
INV000299,6,85.2,240.0,True
INV000304,7,70.0,204.0,True
INV000309,8,52.0,157.0,True
INV000310,7,75.8,164.0,True
INV000318,6,97.4,175.0,True
INV000319,7,73.5,201.0,True
INV000321,7,72.8,204.0,True
INV000328,9,37.5,73.0,True
INV000331,8,50.7,163.0,True
INV000334,7,25.5,60.0,True
INV000335,6,96.0,279.0,True
INV000339,6,94.0,195.0,True
INV000341,8,54.4,191.0,True
INV000356,6,54.4,157.0,True
INV000359,9,54.1,197.0,True
INV000363,7,77.0,153.0,True
INV000369,6,43.8,112.0,True
INV000371,8,59.3,147.0,True
INV000372,7,54.5,121.0,True
INV000380,6,97.0,272.0,True
INV000388,9,53.6,119.0,True
INV000392,7,77.2,205.0,True
INV000395,7,55.7,119.0,True
INV000396,6,83.2,153.0,True
INV000399,10,49.6,68.0,True
INV000400,6,62.6,101.0,True
INV000403,6,58.2,90.0,True
INV000407,6,82.4,157.0,True
INV000408,6,46.8,125.0,True
INV000412,8,43.7,70.0,True
INV000414,8,66.3,233.0,True
INV000415,7,66.2,128.0,True
INV000418,6,86.8,238.0,True
INV000427,7,68.5,116.0,True
INV000428,8,52.1,164.0,True
INV000429,6,77.2,187.0,True
INV000437,6,97.8,295.0,True
INV000440,8,69.6,162.0,True
INV000441,6,60.8,151.0,True
INV000444,6,73.2,129.0,True
INV000445,9,57.8,129.0,True
INV000446,6,38.6,101.0,True
INV000449,6,46.8,70.0,True
INV000452,9,49.4,123.0,True
INV000457,6,91.4,256.0,True
INV000460,6,43.4,107.0,True
INV000463,7,65.2,181.0,True
INV000466,7,73.3,135.0,True
INV000467,10,56.7,272.0,True
INV000469,7,70.5,183.0,True
INV000483,8,70.4,252.0,True
INV000491,6,95.0,202.0,True
INV000493,10,47.6,201.0,True
INV000497,7,71.8,191.0,True
INV000499,7,77.8,157.0,True
INV000507,7,70.2,249.0,True
INV000512,9,54.8,112.0,True
INV000522,6,100.8,309.0,True
INV000524,7,55.0,91.0,True
