,Sortino_Ratio,Rank
Mirae Asset Large Cap Fund - Regular - Growth,2.385644373368818,1
Kotak Flexicap Fund - Regular - Growth,2.364320032166718,2
Mirae Asset Tax Saver Fund - Regular - Growth,2.1469139263460555,3
SBI Bluechip Fund - Regular Plan - Growth,2.140267129061793,4
ICICI Pru Midcap Fund - Regular - Growth,2.0293529404657464,5
DSP Midcap Fund - Regular - Growth,1.875101063919208,6
Nippon India Large Cap Fund - Regular - Growth,1.8501325468557264,7
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.8291339615146942,8
ICICI Pru Bluechip Fund - Direct - Growth,1.8052937940992548,9
ABSL Frontline Equity Fund - Regular - Growth,1.7995628746984524,10
Axis Midcap Fund - Regular - Growth,1.7037974802463003,11
SBI Small Cap Fund - Regular Plan - Growth,1.6753165700125516,12
Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.6327409778735162,13
DSP Small Cap Fund - Regular - Growth,1.619793176491409,14
SBI Bluechip Fund - Direct Plan - Growth,1.609776489628308,15
UTI Nifty 50 Index Fund - Regular - Growth,1.4357420130649492,16
ICICI Pru Bluechip Fund - Regular - Growth,1.3379431500669237,17
HDFC Top 100 Fund - Direct Plan - Growth,1.3306512447571366,18
Nippon India Large Cap Fund - Direct - Growth,1.1544757169236237,19
Nippon India ETF Nifty 50 BeES,1.137976718780742,20
ICICI Pru Value Discovery Fund - Regular - Growth,1.0958951614736467,21
UTI Flexi Cap Fund - Regular - Growth,1.0887552508030014,22
ICICI Pru Liquid Fund - Regular - Growth,1.0521238822609293,23
Kotak Bluechip Fund - Regular - Growth,0.8625738849916581,24
DSP Top 100 Equity Fund - Regular - Growth,0.7621288703723165,25
Nippon India Small Cap Fund - Regular - Growth,0.7460146308533572,26
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.508812819716923,27
ABSL Small Cap Fund - Regular - Growth,0.27664379626092334,28
Axis Bluechip Fund - Direct - Growth,0.22108683979276347,29
Kotak Emerging Equity Fund - Regular - Growth,0.12469346986475664,30
Axis Bluechip Fund - Regular - Growth,0.05257398559304797,31
SBI Small Cap Fund - Direct Plan - Growth,-0.09438726129459607,32
Axis Small Cap Fund - Regular - Growth,-0.12818559275851932,33
Kotak Liquid Fund - Regular - Growth,-0.1877230477424232,34
UTI Mid Cap Fund - Regular - Growth,-0.34722230254727277,35
HDFC Top 100 Fund - Regular Plan - Growth,-0.35104746015230903,36
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.3767670081706672,37
Nippon India Gilt Securities Fund - Regular - Growth,-0.6135251287271027,38
HDFC Short Term Debt Fund - Regular - Growth,-0.9418212366054207,39
ABSL Liquid Fund - Regular - Growth,-1.6810378667512837,40
