,Overall_Rank,Category,Fund_Score,CAGR_3yr,Sharpe,Alpha,Expense_Ratio,Max_Drawdown
UTI Mid Cap Fund - Regular - Growth,1,Equity,88.1875,-0.007672319440258146,-0.20583160785470314,0.028969397866379445,1.51,-0.2800112356639287
HDFC Top 100 Fund - Regular Plan - Growth,2,Equity,88.125,0.012923525892154508,-0.2015170675596694,0.03747580763443282,1.55,-0.24734440880673303
Axis Small Cap Fund - Regular - Growth,3,Equity,85.25,-0.11703299329834216,-0.07597357117478923,0.048015953637759554,1.38,-0.5167775370852656
ABSL Small Cap Fund - Regular - Growth,4,Equity,80.4375,-0.04151453816140693,0.1626607692864677,0.10897091901704538,1.53,-0.3544691649336603
Axis Bluechip Fund - Regular - Growth,5,Equity,79.9375,0.005257668501786883,0.030784850954585913,0.0689952982167755,1.64,-0.1440161790933726
SBI Small Cap Fund - Direct Plan - Growth,6,Equity,78.5625,-0.01337083602283895,-0.05718662582817997,0.048824215945539845,0.72,-0.5257422117012851
Kotak Emerging Equity Fund - Regular - Growth,7,Equity,74.875,0.0775416750547262,0.07599984804658917,0.0780443887615508,1.56,-0.24003511326274884
HDFC Short Term Debt Fund - Regular - Growth,8,Debt,70.625,0.03915479354684703,-0.5670947928476847,0.042817920315060876,0.56,-0.04308263824636349
ABSL Liquid Fund - Regular - Growth,9,Debt,69.625,0.06314299292105274,-0.8155673679088278,0.060861457957871144,0.79,-0.0016224980244717857
SBI Magnum Gilt Fund - Regular Plan - Growth,10,Debt,68.75,0.05838988442093762,-0.22657538662791596,0.05620895216638369,0.77,-0.04328728923970093
Nippon India Gilt Securities Fund - Regular - Growth,11,Debt,67.875,0.04061259859840338,-0.356629507514368,0.05074772999976104,0.55,-0.08316361763638702
Nippon India Small Cap Fund - Regular - Growth,12,Equity,64.1875,0.080060298597036,0.4484340089089914,0.1750072167561127,1.53,-0.2334488614483311
Kotak Bluechip Fund - Regular - Growth,13,Equity,63.125,0.1726301444443794,0.49427253786723496,0.13042924450705445,1.59,-0.1757361416468729
Kotak Liquid Fund - Regular - Growth,14,Debt,61.375,0.06694394239074852,-0.08874729621557331,0.06455677495375998,0.6,-0.0011629327956168556
HDFC Mid-Cap Opportunities Fund - Direct - Growth,15,Equity,60.375,0.11242518737374207,0.3006119210425478,0.11989100971217971,0.78,-0.21117279560132118
